chr	start	end	TF	genic
chrIX	357173	357174	Orc1	False
chrIV	1166257	1166258	Orc1	False
chrVI	32855	32856	Orc1	False
chrXIII	923466	923467	Orc1	False
chrXIII	503621	503622	Orc1	False
chrIX	247743	247744	Orc1	False
chrXI	665803	665804	Orc1	False
chrIV	806123	806124	Orc1	False
chrIV	1524562	1524563	Orc1	False
chrXVI	563892	563893	Orc1	False
chrII	143723	143724	Orc1	False
chrXIV	412446	412447	Orc1	False
chrIII	292675	292676	Orc1	False
chrI	70461	70462	Orc1	False
chrXV	600940	600941	Orc1	False
chrVII	999468	999469	Orc1	False
chrIV	86101	86102	Orc1	False
chrXVI	73193	73194	Orc1	False
chrXII	31713	31714	Orc1	False
chrXIII	535745	535746	Orc1	False
chrXIII	183844	183845	Orc1	False
chrII	6695	6696	Orc1	False
chrXV	656706	656707	Orc1	False
chrX	67664	67665	Orc1	False
chrIV	212543	212544	Orc1	False
chrXI	213757	213758	Orc1	False
chrXIII	31725	31726	Orc1	False
chrXIII	6375	6376	Orc1	False
chrV	287576	287577	Orc2	False
chrII	63366	63367	Orc2	False
chrVII	485106	485107	Orc2	False
chrIV	462598	462599	Orc2	True
chrXVI	695421	695422	Orc2	False
chrIV	1447405	1447406	Orc2	False
chrVI	199430	199431	Orc2	False
chrIX	245840	245841	Orc2	False
chrIV	1502790	1502791	Orc2	False
chrIV	212582	212583	Orc2	False
chrX	683930	683931	Orc2	False
chrVIII	297093	297094	Orc2	False
chrXIV	499049	499050	Orc2	False
chrII	170250	170251	Orc2	False
chrXV	337473	337474	Orc2	False
chrVIII	535628	535629	Orc2	False
chrI	215026	215027	Orc2	False
chrII	741776	741777	Orc2	False
chrV	498898	498899	Orc2	False
chrXI	448188	448189	Orc2	False
chrIII	39581	39582	Orc2	False
chrIX	247744	247745	Orc2	False
chrIII	14696	14697	Orc2	False
chrX	442720	442721	Orc2	False
chrIV	753329	753330	Orc2	False
chrXV	277722	277723	Orc2	False
chrI	42048	42049	Orc2	False
chrXIII	137330	137331	Orc2	False
chrIV	555391	555392	Orc2	False
chrIX	342021	342022	Orc2	False
chrVI	256377	256378	Orc2	False
chrII	486893	486894	Orc2	False
chrIV	702834	702835	Orc2	False
chrI	124516	124517	Orc2	False
chrVI	136039	136040	Orc2	True
chrIII	11263	11264	Orc2	False
chrX	337363	337364	Orc2	False
chrVII	17911	17912	Orc2	False
chrXI	257942	257943	Orc2	False
chrXVI	418192	418193	Orc2	False
chrXI	642792	642793	Orc2	False
chrXI	462997	462998	Orc2	False
chrIV	913874	913875	Orc2	False
chrXIII	535760	535761	Orc2	False
chrVII	659990	659991	Orc2	False
chrVII	421318	421319	Orc2	False
chrXVI	162481	162482	Orc2	False
chrVII	715323	715324	Orc2	False
chrXIII	898034	898035	Orc2	False
chrXVI	819335	819336	Orc2	False
chrXVI	511717	511718	Orc2	False
chrXII	289488	289489	Orc2	False
chrIII	292676	292677	Orc2	False
chrX	684116	684117	Orc2	False
chrXI	329848	329849	Orc2	False
chrXIV	738728	738729	Orc2	False
chrXIII	31778	31779	Orc2	False
chrX	67688	67689	Orc2	False
chrVIII	245801	245802	Orc2	False
chrXVI	384606	384607	Orc2	False
chrIV	702940	702941	Orc2	False
chrXII	91480	91481	Orc2	False
chrXV	908189	908190	Orc2	False
chrVII	508897	508898	Orc2	False
chrII	591376	591377	Orc2	True
chrVII	421229	421230	Orc2	False
chrII	143735	143736	Orc2	False
chrXII	659901	659902	Orc2	False
chrXIV	546139	546140	Orc2	False
chrIV	484029	484030	Orc2	False
chrIX	411991	411992	Orc2	False
chrXI	581905	581906	Orc2	False
chrXV	1083859	1083860	Orc2	False
chrXII	243735	243736	Orc2	False
chrII	622856	622857	Orc2	False
chrXV	783395	783396	Orc2	False
chrXI	417216	417217	Orc2	False
chrXIV	280056	280057	Orc2	False
chrVIII	447784	447785	Orc2	False
chrXIV	561290	561291	Orc2	False
chrII	812189	812190	Orc2	False
chrXVI	43191	43192	Orc2	False
chrII	255073	255074	Orc2	False
chrXI	517052	517053	Orc2	False
chrXV	656710	656711	Orc2	False
chrXII	603099	603100	Orc2	False
chrXVI	73194	73195	Orc2	False
chrXII	513073	513074	Orc2	False
chrXV	166877	166878	Orc2	True
chrX	228867	228868	Orc2	False
chrXIII	286936	286937	Orc2	False
chrXIII	158937	158938	Orc2	True
chrI	70421	70422	Orc2	False
chrIV	329681	329682	Orc2	False
chrIV	253849	253850	Orc2	False
chrXV	681355	681356	Orc2	False
chrXII	156710	156711	Orc2	False
chrXIV	412431	412432	Orc2	False
chrXIV	89824	89825	Orc2	False
chrXVI	116602	116603	Orc2	False
chrIX	73958	73959	Orc2	False
chrXIV	783188	783189	Orc2	False
chrIV	1447492	1447493	Orc2	False
chrIV	46220	46221	Orc2	False
chrXVI	633935	633936	Orc2	False
chrVII	286012	286013	Orc2	False
chrXI	153110	153111	Orc2	False
chrXIV	89603	89604	Orc2	False
chrXI	388941	388942	Orc2	False
chrXIV	321932	321933	Orc2	False
chrX	99615	99616	Orc2	False
chrXV	908322	908323	Orc2	False
chrXI	581689	581690	Orc2	False
chrII	237863	237864	Orc2	False
chrXIII	370929	370930	Orc2	False
chrVII	112133	112134	Orc2	False
chrIV	806115	806116	Orc2	False
chrIV	1353594	1353595	Orc2	False
chrVII	999477	999478	Orc2	False
chrII	408037	408038	Orc2	False
chrIV	86113	86114	Orc2	False
chrVII	163248	163249	Orc2	False
chrIV	1166171	1166172	Orc2	False
chrV	173798	173799	Orc2	False
chrXIII	897890	897891	Orc2	False
chrIV	1276298	1276299	Orc2	False
chrX	540617	540618	Orc2	False
chrXI	213656	213657	Orc2	False
chrXII	730417	730418	Orc2	False
chrIX	33349	33350	Orc2	False
chrXII	928297	928298	Orc2	False
chrXIV	635823	635824	Orc2	False
chrV	59459	59460	Orc2	False
chrXV	167012	167013	Orc2	False
chrVII	888335	888336	Orc2	False
chrIV	1240907	1240908	Orc2	False
chrX	113704	113705	Orc2	False
chrXI	55856	55857	Orc2	False
chrVII	834654	834655	Orc2	False
chrII	237972	237973	Orc2	False
chrII	198409	198410	Orc2	False
chrVI	32880	32881	Orc2	False
chrXII	1064190	1064191	Orc2	False
chrX	744669	744670	Orc2	False
chrXIV	196215	196216	Orc2	False
chrIV	1524552	1524553	Orc2	False
chrIX	438974	438975	Orc2	False
chrXII	412842	412843	Orc2	False
chrX	613017	613018	Orc2	False
chrIV	1302757	1302758	Orc2	False
chrIV	505512	505513	Orc2	False
chrXI	448303	448304	Orc2	False
chrXV	436857	436858	Orc2	False
chrIII	197552	197553	Orc2	False
chrXI	98359	98360	Orc2	False
chrVIII	7745	7746	Orc2	False
chrXII	730533	730534	Orc2	False
chrIX	310747	310748	Orc2	False
chrI	159960	159961	Orc2	False
chrIII	132013	132014	Orc2	False
chrV	94064	94065	Orc2	False
chrXVI	700951	700952	Orc2	True
chrVII	1063509	1063510	Orc2	False
chrXVI	701705	701706	Orc2	True
chrXV	72697	72698	Orc2	True
chrII	477969	477970	Orc2	True
chrXIV	499230	499231	Orc2	False
chrVII	64448	64449	Orc2	False
chrII	591596	591597	Orc2	False
chrIX	33496	33497	Orc2	False
chrXI	582067	582068	Orc2	False
chrXVI	701245	701246	Orc2	True
chrXV	874338	874339	Orc2	False
chrIX	247697	247698	Orc2	False
chrXIV	61706	61707	Orc2	True
chrVII	1083510	1083511	Orc2	False
chrXI	389095	389096	Orc2	False
chrXIV	449526	449527	Orc2	False
chrIII	39808	39809	Orc2	True
chrXII	31710	31711	Orc2	False
chrVIII	64227	64228	Orc2	False
chrX	113833	113834	Orc2	False
chrVII	778022	778023	Orc2	False
chrII	704311	704312	Orc2	False
chrIII	294830	294831	Orc2	False
chrXII	450514	450515	Orc2	False
chrII	622767	622768	Orc2	False
chrXV	600927	600928	Orc2	False
chrXIII	634470	634471	Orc2	True
chrV	439095	439096	Orc2	False
chrIV	1404343	1404344	Orc2	False
chrXIII	183830	183831	Orc2	False
chrVIII	168668	168669	Orc2	False
chrII	478245	478246	Orc2	True
chrV	145704	145705	Orc2	False
chrXVI	563891	563892	Orc2	False
chrXV	309255	309256	Orc2	False
chrIX	214646	214647	Orc2	True
chrV	569548	569549	Orc2	False
chrII	478539	478540	Orc2	True
chrVIII	392237	392238	Orc2	False
chrII	478823	478824	Orc2	True
chrXIV	691670	691671	Orc2	False
chrIX	357168	357169	Orc2	False
chrXIII	263135	263136	Orc2	False
chrII	792229	792230	Orc2	False
chrXV	85350	85351	Orc2	False
chrX	744815	744816	Orc2	False
chrXIII	433024	433025	Orc2	False
chrXIII	554604	554605	Orc2	False
chrXII	1024182	1024183	Orc2	False
chrIII	315721	315722	Orc2	False
chrXVI	289547	289548	Orc2	False
chrXIII	688965	688966	Orc2	False
chrIV	921754	921755	Orc2	False
chrXII	888730	888731	Orc2	False
chrXIII	923497	923498	Orc2	True
chrXIII	39502	39503	Orc2	True
chrIV	530304	530305	Orc2	True
chrI	31010	31011	Orc2	False
chrII	93486	93487	Orc2	False
chrVIII	45785	45786	Orc2	False
chrXVI	942350	942351	Orc2	False
chrVI	118666	118667	Orc2	False
chrIII	224870	224871	Orc2	False
chrXIV	764347	764348	Orc2	False
chrXI	612401	612402	Orc2	False
chrXVI	456742	456743	Orc2	False
chrX	639227	639228	Orc2	False
chrXII	373317	373318	Orc2	False
chrVIII	556057	556058	Orc2	False
chrVIII	212356	212357	Orc2	False
chrIV	529182	529183	Orc2	True
chrIV	1057905	1057906	Orc2	False
chrI	229371	229372	Orc2	False
chrIX	136278	136279	Orc2	False
chrV	353385	353386	Orc2	False
chrIV	1159401	1159402	Orc2	False
chrXII	231258	231259	Orc2	False
chrXV	227557	227558	Orc2	False
chrVII	352853	352854	Orc2	False
chrXII	139713	139714	Orc2	True
chrIII	194250	194251	Orc2	True
chrIV	534654	534655	Orc2	False
chrXIV	169684	169685	Orc2	False
chrIV	534165	534166	Orc2	True
chrIV	534400	534401	Orc2	True
chrVI	68841	68842	Orc2	False
chrXVI	377684	377685	Orc2	True
chrXII	222496	222497	Orc2	False
chrXII	745185	745186	Orc2	False
chrV	353867	353868	Orc2	False
chrIV	530828	530829	Orc2	False
chrIII	166702	166703	Orc2	False
chrI	30919	30920	Orc2	False
chrXIII	611327	611328	Orc2	True
chrX	23929	23930	Orc2	False
chrIX	105957	105958	Orc2	False
chrIV	537465	537466	Orc2	True
chrXII	745105	745106	Orc2	False
chrIV	640064	640065	Orc2	False
chrV	287576	287577	Orc4	False
chrII	63366	63367	Orc4	False
chrXVI	695479	695480	Orc4	False
chrIV	1447492	1447493	Orc4	False
chrIV	462597	462598	Orc4	True
chrII	741776	741777	Orc4	False
chrV	498898	498899	Orc4	False
chrXI	642792	642793	Orc4	False
chrXIV	499049	499050	Orc4	False
chrVIII	535628	535629	Orc4	False
chrI	215026	215027	Orc4	False
chrIX	247744	247745	Orc4	False
chrVI	199428	199429	Orc4	False
chrIII	14698	14699	Orc4	False
chrIV	702940	702941	Orc4	False
chrX	684020	684021	Orc4	False
chrII	170250	170251	Orc4	False
chrVIII	297093	297094	Orc4	False
chrX	442720	442721	Orc4	False
chrXI	448188	448189	Orc4	False
chrVI	256377	256378	Orc4	False
chrIII	11282	11283	Orc4	False
chrXI	581905	581906	Orc4	False
chrIV	1502790	1502791	Orc4	False
chrXIV	738728	738729	Orc4	False
chrIV	555391	555392	Orc4	False
chrIV	212582	212583	Orc4	False
chrIV	753329	753330	Orc4	False
chrVII	715323	715324	Orc4	False
chrVII	485171	485172	Orc4	False
chrXIV	89682	89683	Orc4	False
chrVIII	245802	245803	Orc4	False
chrVI	136039	136040	Orc4	True
chrXI	462997	462998	Orc4	False
chrXIII	897899	897900	Orc4	False
chrXIII	137330	137331	Orc4	False
chrXV	337473	337474	Orc4	False
chrIX	245773	245774	Orc4	False
chrXVI	384606	384607	Orc4	False
chrXIV	546121	546122	Orc4	False
chrXI	55856	55857	Orc4	False
chrXII	659937	659938	Orc4	False
chrVII	659990	659991	Orc4	False
chrIV	806115	806116	Orc4	False
chrIII	292676	292677	Orc4	False
chrII	486893	486894	Orc4	False
chrXIII	31779	31780	Orc4	False
chrXII	91488	91489	Orc4	False
chrIV	1447404	1447405	Orc4	False
chrXVI	116602	116603	Orc4	False
chrXV	656710	656711	Orc4	False
chrI	70421	70422	Orc4	False
chrIX	411990	411991	Orc4	False
chrX	337366	337367	Orc4	False
chrXV	1083781	1083782	Orc4	False
chrXV	277722	277723	Orc4	False
chrXIV	280056	280057	Orc4	False
chrXI	257942	257943	Orc4	False
chrXII	289488	289489	Orc4	False
chrI	42048	42049	Orc4	False
chrVII	17911	17912	Orc4	False
chrVII	508897	508898	Orc4	False
chrXI	417249	417250	Orc4	False
chrVII	421191	421192	Orc4	False
chrXIV	783094	783095	Orc4	False
chrXII	450514	450515	Orc4	False
chrXIII	898031	898032	Orc4	False
chrXVI	511717	511718	Orc4	False
chrII	143733	143734	Orc4	False
chrIV	1524458	1524459	Orc4	False
chrV	94064	94065	Orc4	False
chrXVI	819335	819336	Orc4	False
chrXV	908330	908331	Orc4	False
chrIX	438869	438870	Orc4	False
chrXI	329848	329849	Orc4	False
chrI	124516	124517	Orc4	False
chrX	67673	67674	Orc4	False
chrVIII	7745	7746	Orc4	False
chrX	228832	228833	Orc4	False
chrX	24013	24014	Orc4	False
chrXV	167012	167013	Orc4	False
chrXI	153110	153111	Orc4	False
chrVIII	447784	447785	Orc4	False
chrII	622822	622823	Orc4	False
chrII	407999	408000	Orc4	False
chrII	486744	486745	Orc4	True
chrXVI	563891	563892	Orc4	False
chrXIV	61646	61647	Orc4	True
chrXIII	286855	286856	Orc4	False
chrXIII	159055	159056	Orc4	False
chrIV	1166171	1166172	Orc4	False
chrXIV	169705	169706	Orc4	False
chrXII	1064078	1064079	Orc4	False
chrXIII	535760	535761	Orc4	False
chrIV	913874	913875	Orc4	False
chrVII	163301	163302	Orc4	False
chrII	812136	812137	Orc4	False
chrIV	253849	253850	Orc4	False
chrVII	421269	421270	Orc4	False
chrIV	1240870	1240871	Orc4	False
chrIII	39581	39582	Orc4	False
chrV	173741	173742	Orc4	False
chrXII	730533	730534	Orc4	False
chrXII	928297	928298	Orc4	False
chrIX	342021	342022	Orc4	False
chrX	744654	744655	Orc4	False
chrXI	389047	389048	Orc4	False
chrVII	888384	888385	Orc4	False
chrIV	46221	46222	Orc4	False
chrIII	39695	39696	Orc4	False
chrIX	342101	342102	Orc4	False
chrXII	888677	888678	Orc4	False
chrIII	197553	197554	Orc4	False
chrXVI	73194	73195	Orc4	False
chrII	255073	255074	Orc4	False
chrXVI	289548	289549	Orc4	False
chrIII	294755	294756	Orc4	False
chrXVI	418192	418193	Orc4	False
chrXV	783395	783396	Orc4	False
chrXII	412842	412843	Orc4	False
chrVII	999477	999478	Orc4	False
chrXII	31711	31712	Orc4	False
chrXIII	433053	433054	Orc4	False
chrXIV	412431	412432	Orc4	False
chrX	613072	613073	Orc4	False
chrIV	702848	702849	Orc4	False
chrVII	485104	485105	Orc4	False
chrII	591336	591337	Orc4	True
chrVII	64448	64449	Orc4	False
chrXII	373268	373269	Orc4	False
chrXIV	691612	691613	Orc4	False
chrXII	603038	603039	Orc4	False
chrXVI	633935	633936	Orc4	False
chrIV	1302757	1302758	Orc4	False
chrX	113677	113678	Orc4	False
chrVII	112133	112134	Orc4	False
chrIV	1353594	1353595	Orc4	False
chrIV	86113	86114	Orc4	False
chrXVI	162482	162483	Orc4	False
chrXII	243735	243736	Orc4	False
chrIV	1404343	1404344	Orc4	False
chrII	237863	237864	Orc4	False
chrXI	213656	213657	Orc4	False
chrXVI	43219	43220	Orc4	False
chrVII	286012	286013	Orc4	False
chrXI	517072	517073	Orc4	False
chrI	159960	159961	Orc4	False
chrXIII	370945	370946	Orc4	False
chrIV	1276298	1276299	Orc4	False
chrIX	245872	245873	Orc4	False
chrXIII	923457	923458	Orc4	False
chrXIV	322012	322013	Orc4	False
chrVI	20816	20817	Orc4	False
chrIV	329681	329682	Orc4	False
chrV	145662	145663	Orc4	False
chrX	99746	99747	Orc4	True
chrXII	513073	513074	Orc4	False
chrIV	484029	484030	Orc4	False
chrVIII	45785	45786	Orc4	False
chrXV	72697	72698	Orc4	True
chrV	569457	569458	Orc4	False
chrII	198408	198409	Orc4	False
chrXIII	183810	183811	Orc4	False
chrIX	310744	310745	Orc4	False
chrV	59459	59460	Orc4	False
chrVII	1083475	1083476	Orc4	False
chrXV	981587	981588	Orc4	False
chrXVI	695376	695377	Orc4	False
chrVIII	392237	392238	Orc4	False
chrXIII	263135	263136	Orc4	False
chrX	540617	540618	Orc4	False
chrXIII	158917	158918	Orc4	True
chrII	29054	29055	Orc4	False
chrXIII	554604	554605	Orc4	False
chrVI	32962	32963	Orc4	False
chrII	792229	792230	Orc4	False
chrXIV	449526	449527	Orc4	False
chrIX	214744	214745	Orc4	False
chrXV	436857	436858	Orc4	False
chrIX	357234	357235	Orc4	False
chrIV	921754	921755	Orc4	False
chrVIII	168668	168669	Orc4	False
chrVIII	64242	64243	Orc4	False
chrXII	243780	243781	Orc4	False
chrIV	505480	505481	Orc4	False
chrV	549599	549600	Orc4	False
chrXV	908219	908220	Orc4	False
chrXIII	611327	611328	Orc4	True
chrIII	166702	166703	Orc4	False
chrIII	194319	194320	Orc4	False
chrX	730139	730140	Orc4	False
chrVII	352762	352763	Orc4	False
chrIV	15658	15659	Orc4	False
chrXII	289410	289411	Orc4	False
chrXI	98393	98394	Orc4	False
chrIV	435173	435174	Orc4	False
chrX	113834	113835	Orc4	False
chrVIII	359698	359699	Orc4	False
chrVII	778022	778023	Orc4	False
chrXII	745105	745106	Orc4	False
chrXII	1007310	1007311	Orc4	False
chrXIV	635725	635726	Orc4	False
chrIX	33383	33384	Orc4	False
chrIII	315699	315700	Orc4	False
chrXIII	286895	286896	Orc4	False
chrXII	156710	156711	Orc4	False
chrXV	681355	681356	Orc4	False
chrII	704286	704287	Orc4	False
chrIV	629288	629289	Orc4	False
chrVII	834659	834660	Orc4	False
chrXV	309254	309255	Orc4	False
chrXVI	701224	701225	Orc4	True
chrVI	32722	32723	Orc4	False
chrVI	118666	118667	Orc4	False
chrIV	1057905	1057906	Orc4	False
chrXVI	701752	701753	Orc4	True
chrXII	76912	76913	Orc4	False
chrIX	73923	73924	Orc4	False
chrXIV	196215	196216	Orc4	False
chrVII	1063513	1063514	Orc4	False
chrII	591906	591907	Orc4	True
chrII	478841	478842	Orc4	True
chrX	683947	683948	Orc4	False
chrXIII	805171	805172	Orc4	False
chrXIV	499310	499311	Orc4	False
chrIII	11459	11460	Orc4	False
chrIV	1487080	1487081	Orc4	False
chrIII	131974	131975	Orc4	False
chrXVI	700896	700897	Orc4	True
chrII	591535	591536	Orc4	False
chrII	326255	326256	Orc4	False
chrXI	581656	581657	Orc4	False
chrII	237972	237973	Orc4	False
chrI	229317	229318	Orc4	False
chrIII	224961	224962	Orc4	False
chrVII	977813	977814	Orc4	False
chrXI	388920	388921	Orc4	False
chrVI	68839	68840	Orc4	False
chrXI	612397	612398	Orc4	False
chrVII	888484	888485	Orc4	False
chrXV	72784	72785	Orc4	False
chrII	478158	478159	Orc4	True
chrXI	457435	457436	Orc4	False
chrIV	640058	640059	Orc4	False
chrXIV	498975	498976	Orc4	False
chrXVI	701556	701557	Orc4	True
chrXII	1024146	1024147	Orc4	False
chrX	684111	684112	Orc4	False
chrVIII	556015	556016	Orc4	False
chrXV	874361	874362	Orc4	False
chrI	31010	31011	Orc4	False
chrII	477940	477941	Orc4	True
chrXIV	561309	561310	Orc4	False
chrII	63011	63012	Orc4	False
chrXV	85350	85351	Orc4	False
chrXIII	815336	815337	Orc4	False
chrIX	248051	248052	Orc4	True
chrXV	489935	489936	Orc4	False
chrXIII	758407	758408	Orc4	False
chrXIII	634566	634567	Orc4	False
chrXIII	39559	39560	Orc4	True
chrXI	642549	642550	Orc4	False
chrXIV	609576	609577	Orc4	False
chrIII	108927	108928	Orc4	False
chrVIII	501939	501940	Orc4	False
chrII	478656	478657	Orc4	True
chrXIV	764226	764227	Orc4	False
chrXVI	842840	842841	Orc4	False
chrII	93456	93457	Orc4	False
chrIV	534450	534451	Orc4	True
chrXVI	942305	942306	Orc4	False
chrXIV	89746	89747	Orc4	False
chrXIII	688959	688960	Orc4	False
chrII	478416	478417	Orc4	True
chrXIII	649371	649372	Orc4	False
chrIV	567659	567660	Orc4	False
chrV	287531	287532	Orc4	False
chrIX	136274	136275	Orc4	False
chrXII	822096	822097	Orc4	False
chrXVI	377497	377498	Orc4	True
chrIV	913912	913913	Orc4	False
chrXV	497222	497223	Orc4	False
chrIII	15188	15189	Orc4	False
chrXV	227554	227555	Orc4	False
chrVI	269639	269640	Orc4	False
chrX	712014	712015	Orc4	False
chrXV	10960	10961	Orc4	False
chrIV	1159401	1159402	Orc4	False
chrIV	316862	316863	Orc4	False
chrIV	530302	530303	Orc4	True
chrXV	566586	566587	Orc4	False
chrX	299066	299067	Orc4	False
chrIV	530561	530562	Orc4	True
chrXV	729804	729805	Orc4	False
chrIX	189786	189787	Orc4	True
chrIX	432715	432716	Orc4	False
chrIV	1016769	1016770	Orc4	False
chrIV	532438	532439	Orc4	True
chrXV	766694	766695	Orc4	False
chrIII	273004	273005	Orc4	False
chrV	316550	316551	Orc4	True
chrXVI	454112	454113	Orc4	True
chrII	223092	223093	Orc4	True
chrXIV	250483	250484	Orc4	False
chrI	176293	176294	Orc4	False
chrV	212462	212463	Orc4	False
chrV	363499	363500	Orc4	True
chrV	278129	278130	Orc4	True
chrIV	753633	753634	Orc4	False
chrIV	533099	533100	Orc4	True
chrXII	139787	139788	Orc4	True
chrIV	531939	531940	Orc4	True
chrIV	529112	529113	Orc4	True
chrV	287600	287601	Orc5	False
chrIV	462597	462598	Orc5	True
chrV	498929	498930	Orc5	False
chrXIV	499090	499091	Orc5	False
chrII	63348	63349	Orc5	False
chrVII	485083	485084	Orc5	False
chrVI	199448	199449	Orc5	False
chrXI	448210	448211	Orc5	False
chrIV	1447470	1447471	Orc5	False
chrIX	245779	245780	Orc5	False
chrI	215001	215002	Orc5	False
chrVIII	535603	535604	Orc5	False
chrIV	702914	702915	Orc5	False
chrXVI	695524	695525	Orc5	False
chrII	741735	741736	Orc5	False
chrXI	642822	642823	Orc5	False
chrXI	581950	581951	Orc5	False
chrIV	753287	753288	Orc5	False
chrII	170212	170213	Orc5	False
chrVII	421230	421231	Orc5	False
chrIII	11304	11305	Orc5	False
chrX	684072	684073	Orc5	False
chrXIV	738708	738709	Orc5	False
chrX	442673	442674	Orc5	False
chrIX	247741	247742	Orc5	False
chrVII	715334	715335	Orc5	False
chrIX	341997	341998	Orc5	False
chrXI	462968	462969	Orc5	False
chrXIII	137352	137353	Orc5	False
chrIV	1502746	1502747	Orc5	False
chrXVI	695356	695357	Orc5	False
chrVI	256406	256407	Orc5	False
chrX	337390	337391	Orc5	False
chrXV	337490	337491	Orc5	False
chrXV	277698	277699	Orc5	False
chrIII	39552	39553	Orc5	False
chrXII	289508	289509	Orc5	False
chrX	417341	417342	Orc5	False
chrXII	243784	243785	Orc5	False
chrIV	1447373	1447374	Orc5	False
chrII	63341	63342	Orc5	False
chrIX	247762	247763	Orc5	False
chrXVI	819339	819340	Orc5	False
chrVII	660032	660033	Orc5	False
chrIII	14731	14732	Orc5	False
chrXIII	158931	158932	Orc5	True
chrII	486869	486870	Orc5	False
chrXV	908350	908351	Orc5	False
chrVIII	245776	245777	Orc5	False
chrXV	1083831	1083832	Orc5	False
chrXVI	116610	116611	Orc5	False
chrVII	883099	883100	Orc5	True
chrIV	555366	555367	Orc5	False
chrXIII	898056	898057	Orc5	False
chrXI	257864	257865	Orc5	False
chrXI	55833	55834	Orc5	False
chrXIII	31725	31726	Orc5	False
chrVI	136014	136015	Orc5	True
chrVIII	297138	297139	Orc5	False
chrXVI	777088	777089	Orc5	False
chrIX	411967	411968	Orc5	False
chrX	113722	113723	Orc5	False
chrIV	212540	212541	Orc5	False
chrXVI	384626	384627	Orc5	False
chrVII	17928	17929	Orc5	False
chrIII	292739	292740	Orc5	False
chrXIV	783172	783173	Orc5	False
chrI	124499	124500	Orc5	False
chrXI	388923	388924	Orc5	False
chrXIII	503590	503591	Orc5	False
chrXII	1064168	1064169	Orc5	False
chrII	143695	143696	Orc5	False
chrXIII	535762	535763	Orc5	False
chrII	591357	591358	Orc5	True
chrXII	450491	450492	Orc5	False
chrXII	659900	659901	Orc5	False
chrXII	91477	91478	Orc5	False
chrIII	39761	39762	Orc5	False
chrXIV	546095	546096	Orc5	False
chrXIV	89728	89729	Orc5	False
chrIV	806140	806141	Orc5	False
chrIV	913870	913871	Orc5	False
chrII	591527	591528	Orc5	False
chrIV	212663	212664	Orc5	False
chrIV	702935	702936	Orc5	False
chrX	683873	683874	Orc5	False
chrIV	1524519	1524520	Orc5	False
chrIX	438924	438925	Orc5	False
chrVII	508874	508875	Orc5	False
chrXIII	897936	897937	Orc5	False
chrV	94088	94089	Orc5	False
chrII	486849	486850	Orc5	True
chrX	744748	744749	Orc5	False
chrXV	908200	908201	Orc5	False
chrXVI	777184	777185	Orc5	False
chrII	591995	591996	Orc5	True
chrI	70392	70393	Orc5	False
chrII	237903	237904	Orc5	False
chrII	478795	478796	Orc5	True
chrXVI	701579	701580	Orc5	True
chrXV	656687	656688	Orc5	False
chrXV	166875	166876	Orc5	True
chrXIV	498945	498946	Orc5	False
chrII	255030	255031	Orc5	False
chrXI	642585	642586	Orc5	False
chrV	569459	569460	Orc5	False
chrV	287485	287486	Orc5	False
chrXIV	499310	499311	Orc5	False
chrI	42004	42005	Orc5	False
chrXI	417239	417240	Orc5	False
chrXIV	412400	412401	Orc5	False
chrII	478278	478279	Orc5	True
chrXIV	61673	61674	Orc5	True
chrVII	1083522	1083523	Orc5	False
chrXVI	73224	73225	Orc5	False
chrIX	357144	357145	Orc5	False
chrII	408009	408010	Orc5	False
chrXIII	286895	286896	Orc5	False
chrXVI	43262	43263	Orc5	False
chrX	454104	454105	Orc5	True
chrXVI	418199	418200	Orc5	False
chrXI	581653	581654	Orc5	False
chrVIII	7786	7787	Orc5	False
chrIV	1240851	1240852	Orc5	False
chrXVI	701086	701087	Orc5	True
chrX	99686	99687	Orc5	False
chrII	622783	622784	Orc5	False
chrXI	213631	213632	Orc5	False
chrXVI	701808	701809	Orc5	True
chrXVI	563919	563920	Orc5	False
chrXIII	923496	923497	Orc5	True
chrXIV	280145	280146	Orc5	False
chrII	812250	812251	Orc5	False
chrII	478038	478039	Orc5	True
chrXII	730426	730427	Orc5	False
chrXVI	700874	700875	Orc5	True
chrIV	921655	921656	Orc5	False
chrXII	928322	928323	Orc5	False
chrXVI	701302	701303	Orc5	True
chrII	478581	478582	Orc5	True
chrXIV	321898	321899	Orc5	False
chrIV	1353466	1353467	Orc5	False
chrVII	999386	999387	Orc5	False
chrVIII	447868	447869	Orc5	False
chrXI	329941	329942	Orc5	False
chrIV	702832	702833	Orc5	False
chrIV	462554	462555	Orc5	True
chrIII	315706	315707	Orc5	False
chrIV	1524437	1524438	Orc5	False
chrXVI	633965	633966	Orc5	False
chrIV	329699	329700	Orc5	False
chrIV	1166289	1166290	Orc5	False
chrXVI	942325	942326	Orc5	False
chrXVI	162524	162525	Orc5	False
chrX	67695	67696	Orc5	False
chrIII	197510	197511	Orc5	False
chrII	812187	812188	Orc5	False
chrIV	1276318	1276319	Orc5	False
chrII	792259	792260	Orc5	False
chrIV	1302758	1302759	Orc5	False
chrXIII	370903	370904	Orc5	False
chrIX	438912	438913	Orc5	False
chrIV	534357	534358	Orc5	True
chrIV	46331	46332	Orc5	True
chrIX	214618	214619	Orc5	True
chrXV	600916	600917	Orc5	False
chrXVI	511701	511702	Orc5	False
